;DM1;DM2;DM4;EC2;ED1;HS1;HS2;EN1
364;3.23;1.34;0.96;0.0;0.0;0.0;0.0;0.305597812100186
365;2.85;0.75;0.92;0.0;0.0;0.0;1.12;0.438417677815992
366;3.04;0.62;1.37;0.0;1.41;2.47;2.47;0.336329190053134
367;3.32;0.36;1.59;0.0;0.0;0.0;0.9;0.263205484169225
368;3.37;1.6;1.22;0.23;0.0;0.0;0.46;0.232367202649621
369;3.17;0.91;1.19;0.0;0.0;0.0;0.6;0.33015620015203
370;3.21;9.35;0.8;0.0;2.7;0.0;0.97;0.237923762512456
371;3.2;0.63;1.58;0.0;0.0;0.0;0.32;0.272894575594262
372;3.11;0.62;1.68;0.0;0.0;0.0;0.31;0.379323242439164
373;3.19;0.47;1.14;0.0;0.0;0.24;0.0;0.287232285600249
374;3.21;0.0;2.08;0.0;0.0;0.0;1.69;0.369338950056103
375;3.14;0.94;1.95;0.0;0.0;0.0;1.89;0.434048212206341
376;3.11;0.0;0.0;0.0;0.0;0.0;11.11;0.409732762695313
377;3.21;1.09;1.43;0.0;0.83;0.0;0.44;0.340650943691953
378;3.08;0.47;1.17;0.23;0.0;0.0;0.47;0.24069324498506
379;3.14;0.54;0.95;0.0;0.0;0.0;0.54;0.255723310204653
380;3.2;0.0;0.97;0.0;3.03;0.0;1.55;0.326382888779964
381;3.16;7.88;1.25;0.27;0.0;0.27;3.53;0.326875266934136
382;3.33;0.0;1.39;0.25;0.0;0.0;0.25;0.303408165007121
383;3.08;0.48;1.72;0.63;0.92;0.0;3.34;0.248096947264393
384;3.24;0.22;1.36;0.43;0.0;0.0;6.74;0.222754915782384
385;3.06;0.34;1.0;0.0;0.0;0.0;0.34;0.330292024688255
386;3.2;0.0;1.4;0.0;1.12;0.0;0.58;0.28240470493685
387;3.02;0.9;1.14;0.0;1.2;0.3;0.3;0.301554967858353
388;3.59;0.74;1.39;0.0;0.0;0.74;2.58;0.250511353596663
389;2.97;0.34;0.97;0.0;0.0;0.0;0.68;0.252270453972017
390;3.14;2.53;1.25;0.28;0.0;0.0;2.53;0.278493654360357
391;2.85;3.0;1.21;0.43;0.0;0.0;0.43;0.320218773445053
392;3.23;0.63;1.3;0.0;4.17;0.0;0.0;0.282053913714157
393;3.32;1.0;1.58;0.0;3.2;0.0;0.25;0.272647110372782
394;3.09;0.26;1.4;0.0;0.96;0.0;0.26;0.215900417974966
395;3.22;0.82;1.74;0.0;3.57;0.0;0.27;0.213986175837087
396;3.18;0.92;1.84;0.0;0.93;0.0;0.0;0.241131759930456
397;3.12;0.88;1.17;0.0;0.0;0.0;0.22;0.250383132558451
398;3.12;0.0;1.15;0.21;0.0;0.0;0.62;0.257679454807267
399;3.1;2.3;1.93;0.0;0.0;0.46;0.46;0.389595940792254
400;3.18;1.1;1.56;0.0;1.22;0.0;0.37;0.344818440617108
401;3.34;3.11;1.3;0.0;0.0;0.0;0.0;0.335290606448547
402;3.49;3.38;1.07;0.0;1.96;0.0;0.0;0.370736069574815
403;3.26;0.89;1.19;0.0;1.32;0.22;0.0;0.348518133316441
404;3.26;0.82;1.71;0.0;1.27;0.21;0.0;0.369444393470862
405;3.31;2.8;1.88;0.0;2.86;0.62;0.0;0.367511510344217
406;3.18;0.84;1.1;0.0;2.8;0.0;0.28;0.357477922120999
407;3.26;2.4;2.26;0.0;3.41;0.0;0.0;0.319310661700132
408;3.28;1.74;1.75;0.0;3.45;0.0;0.0;0.259764577585755
409;3.16;0.32;1.33;0.0;0.0;0.32;0.32;0.254266321167425
410;3.41;1.27;2.05;0.32;0.0;0.0;0.0;0.206856951751608
411;3.16;0.85;2.01;0.0;0.0;0.42;0.0;0.310295680595948
412;3.25;0.85;1.45;0.43;1.69;0.0;0.43;0.204498445391998
413;3.35;1.13;1.7;0.0;0.77;0.38;0.0;0.365055835011518
414;3.16;1.22;1.25;0.3;0.0;0.61;0.0;0.343698958293744
415;2.76;0.91;0.75;1.83;0.0;0.0;1.37;0.256976756784651
416;3.14;0.49;1.73;0.0;3.77;0.0;0.49;0.284539635441884
417;2.97;0.77;2.01;0.0;4.55;0.0;0.39;0.302152845444101
418;2.95;0.0;1.26;0.0;0.0;0.0;0.0;0.284368216217338
419;2.93;10.38;0.75;0.0;2.38;0.0;0.0;0.27275283061541
420;3.22;0.27;1.08;0.0;0.0;0.0;1.08;0.281440540247185
421;3.26;1.23;1.27;0.31;0.0;0.31;0.92;0.264462590578588
422;3.0;0.0;0.84;0.46;0.0;0.0;0.91;0.23565147587553
423;3.22;1.2;1.26;0.0;0.0;0.0;0.6;0.262208850392037
424;3.04;1.15;2.02;0.0;1.79;0.77;1.15;0.273357000783538
425;3.12;4.88;1.39;0.36;0.0;0.0;0.72;0.251531464107815
426;3.05;1.12;1.46;0.0;2.82;0.0;0.0;0.314569103121758
427;3.28;4.57;1.46;0.24;1.54;0.0;0.0;0.34241456019603
428;3.16;4.91;1.34;0.0;0.0;0.45;0.0;0.303271947900454
429;3.11;4.18;1.16;0.0;0.96;0.0;0.0;0.278007063996139
430;3.03;1.95;1.55;0.0;2.25;0.0;0.0;0.425750437986604
431;3.06;4.61;1.24;0.33;0.0;0.0;1.32;0.212429506525321
432;2.99;1.24;1.24;0.25;0.0;0.25;0.99;0.288704088946082
433;3.04;0.39;1.3;0.39;0.0;0.0;0.0;0.298678068315675
434;3.2;0.21;1.36;0.42;0.71;0.0;0.21;0.26101873326319
435;3.06;0.45;1.4;0.15;1.16;0.15;0.0;0.266238848842708
436;3.18;1.9;1.5;0.0;2.33;0.0;0.63;0.287543679247884
437;3.24;1.47;1.37;0.0;0.0;0.25;0.0;0.298359096143395
438;3.37;1.45;1.72;0.0;2.87;0.0;0.48;0.263035991868843
439;3.49;1.28;1.53;0.0;3.77;0.43;0.43;0.401300253264741
440;3.24;4.57;1.47;0.0;0.0;0.0;0.35;0.391405579710273
441;3.09;1.31;1.53;0.26;1.12;0.0;0.79;0.258715353310108
442;2.99;0.85;0.82;0.0;1.92;0.0;0.21;0.293771826870301
443;2.9;0.95;0.95;0.0;0.89;0.0;0.72;0.309662312729123
444;3.06;0.95;1.4;0.0;0.0;0.0;0.48;0.288476166553482
445;3.21;0.83;1.69;0.0;1.74;0.0;0.0;0.301624819241612
446;3.22;0.9;1.35;0.0;0.88;0.3;0.0;0.465905260944844
447;3.3;3.05;2.06;0.0;4.62;0.14;0.28;0.333169551372301
448;3.29;0.38;1.81;0.0;0.0;0.0;0.0;0.291061314849221
449;3.23;2.2;1.48;0.0;1.57;0.0;0.0;0.282082356853423
450;3.23;0.88;1.42;0.0;1.13;0.0;0.35;0.301753157049629
451;3.26;1.66;2.13;0.0;0.63;0.0;0.0;0.248937324825051
452;3.41;1.46;1.76;0.0;1.46;0.13;0.0;0.309761802327854
453;2.94;1.15;1.08;0.0;0.0;0.0;0.58;0.319684213700415
454;3.04;10.14;1.68;0.0;0.0;0.47;0.0;0.257383014358904
455;2.99;1.73;1.59;0.0;0.0;0.43;0.0;0.263089527740427
456;3.16;0.38;1.15;0.38;0.0;0.0;0.0;0.308010524171486
457;3.19;1.71;1.07;0.0;0.0;0.0;0.57;0.29104870378253
458;3.01;0.35;1.04;0.0;0.0;1.39;0.0;0.283351565400759
459;3.18;0.79;0.86;0.0;0.0;0.0;0.52;0.282063480205597
460;3.31;0.8;1.45;0.0;1.67;0.0;0.0;0.412716401055687
461;3.35;1.53;1.75;0.0;0.0;0.26;0.0;0.365212844114083
462;3.36;3.07;1.8;0.0;2.99;0.0;0.47;0.347778290855569
463;3.22;1.5;1.58;0.0;1.98;0.0;0.0;0.340079023856525
464;2.97;0.63;0.63;0.0;0.0;0.0;1.27;0.299925017644439
465;3.1;0.0;1.14;0.0;1.75;0.0;0.0;0.252614539961532
466;3.03;1.3;0.75;0.33;0.0;0.0;0.33;0.293976961190884
467;3.11;1.32;1.35;0.0;1.39;0.44;0.0;0.290525394754532
468;3.2;1.85;1.73;0.0;2.13;0.62;0.0;0.331867711246014
469;3.53;2.27;2.17;0.32;2.4;0.66;0.0;0.410072076143829
470;3.11;0.41;0.93;0.0;1.85;0.0;0.0;0.294588227051398
471;3.1;1.65;1.71;0.66;0.0;0.0;0.0;0.259238763666544
472;3.29;2.92;1.85;0.0;0.51;0.0;0.0;0.344823674784614
473;3.26;0.71;1.24;0.0;1.65;0.0;0.0;0.349178988933563
474;2.99;1.25;1.21;0.0;0.0;0.0;0.0;0.331054972908036
475;3.27;0.55;1.92;0.0;0.0;0.0;0.0;0.323189885488578
476;3.42;2.56;1.88;0.0;3.25;0.0;0.0;0.427181913646099
477;3.35;1.78;1.81;0.0;3.83;0.0;0.16;0.349617005108469
478;3.24;0.48;1.27;0.24;0.94;0.0;0.24;0.326977043913387
479;3.2;0.9;1.31;0.0;3.19;0.0;0.0;0.423742697691638
480;3.22;1.01;1.38;0.1;1.48;0.1;0.1;0.33336511259443
481;3.33;7.18;2.29;0.0;1.57;0.29;0.0;0.330927000221397
482;3.24;1.16;2.23;0.23;2.38;0.0;0.23;0.431454905516961
