;DM1;DM2;DM4;EC2;ED1;HS1;HS2;EN1
83;2.97;1.29;0.83;5.6;0.0;0.0;15.52;0.297919875422505
84;3.31;0.44;0.77;7.93;3.7;0.0;32.59;0.384857779069291
85;2.99;5.45;1.89;0.0;2.0;0.0;0.39;0.2842765459922
86;3.1;2.88;1.06;0.41;1.59;0.0;1.65;0.253175319224182
87;2.59;11.96;0.92;5.98;1.09;0.0;24.16;0.315907316241604
88;2.82;7.32;1.64;1.05;1.92;0.0;1.74;0.316535981992881
89;2.62;2.22;1.24;0.0;0.0;0.0;0.0;0.152313167036956
90;1.83;0.0;0.0;0.0;0.0;16.67;16.67;0.15850760799852
91;2.56;1.6;0.93;1.06;6.67;0.0;1.06;0.150504138558212
92;2.56;1.23;1.2;0.0;0.0;0.0;0.0;0.173554270293564
93;2.61;0.0;1.33;0.0;0.0;0.0;0.0;0.22316817915146
94;2.55;3.57;0.85;0.26;0.0;0.0;2.81;0.26767672804621
95;2.85;0.32;1.0;0.0;0.0;0.0;1.9;0.270851119199679
96;3.05;0.0;0.46;1.65;2.78;0.0;3.29;0.289655689278553
97;2.53;0.9;0.58;2.09;0.0;0.0;3.63;0.252847796293343
98;2.95;2.29;1.03;0.76;0.0;0.0;2.29;0.272290386336366
99;3.19;0.0;0.8;0.0;0.0;0.0;7.69;0.291354768530086
100;3.17;1.23;0.48;3.68;2.56;0.61;10.43;0.437377466384424
101;3.14;0.65;0.89;0.0;0.0;0.0;8.5;0.355238606387669
102;2.77;1.24;0.97;1.24;0.0;0.41;0.41;0.201676145891807
103;2.63;0.49;1.48;0.0;2.63;0.0;0.97;0.266339237039739
104;3.44;0.0;0.48;6.56;0.0;0.0;36.89;0.239209564941481
105;3.09;0.0;1.23;4.14;0.0;0.0;12.07;0.290754060517868
106;3.44;0.0;0.5;8.67;0.0;0.0;45.09;0.196632202509995
107;2.99;0.66;1.95;0.33;0.0;0.67;3.34;0.333993346424577
108;2.55;0.56;1.27;0.28;3.23;0.0;1.12;0.347523192894268
109;2.52;1.21;1.6;1.61;0.0;0.0;8.47;0.358882337324106
110;2.89;0.0;1.11;3.65;1.25;0.0;3.43;0.255829249746608
111;2.93;0.0;0.89;0.0;1.85;0.0;0.92;0.288101247061562
112;2.9;0.54;0.84;0.0;0.0;0.0;2.16;0.324785626759372
113;3.28;0.97;1.33;0.0;3.64;0.0;0.0;0.375654071305705
114;3.12;1.66;1.02;0.0;0.0;0.0;0.0;0.3055571053798
115;3.22;2.04;1.38;0.0;4.35;0.0;0.0;0.348899863235691
116;3.14;0.43;1.31;0.0;1.56;0.0;0.43;0.356757149538573
117;3.41;1.41;1.24;0.0;0.59;0.2;0.2;0.332464539760741
118;3.75;0.0;0.0;0.0;0.0;0.0;0.0;0.385300747699814
119;3.32;6.68;1.56;0.0;1.99;0.11;0.33;0.283842692081958
120;3.08;1.22;1.44;0.0;0.0;0.61;0.61;0.381178537136792
121;3.13;0.37;1.18;0.0;1.41;0.0;0.0;0.293343810985486
122;3.18;2.31;1.66;0.0;0.0;0.0;0.0;0.293061699083558
123;3.34;1.48;1.38;0.0;0.0;0.37;0.37;0.306930166227047
124;3.26;0.0;1.67;0.0;3.33;0.0;0.0;0.35920599012912
125;3.12;0.51;1.9;3.55;0.46;0.1;9.03;0.280432607187252
126;3.26;0.36;1.3;7.59;3.52;0.0;24.95;0.379756638291162
127;2.91;0.0;1.35;0.0;0.0;0.41;0.0;0.359800330466694
128;3.09;0.76;1.15;0.0;0.0;0.25;1.52;0.329096288157969
