Census tract;DM1;DM2;DM3;DM4;EC1;EC2;EC3;ED1;ED2;HS1;HS2;HS3;HS4;HS5;EN1
411520005280002;3;2.61;35.29;1.65;11.73;4.07;18.73;0;0.49;0;12.05;96.42;97.23;39.58;0.301763085091934
411520005280003;2.81;0.99;34.15;1.45;2.77;1.58;29.31;1.02;1.58;0;1.98;60.12;64.09;44.64;0.274155760520922
411520005290001;3.13;0.72;38.91;1.08;4.35;0.24;53.86;3.03;7.73;0;0.72;87.68;99.76;53.14;0.351644527502161
411520005290002;3.01;2.06;43.32;1.23;2.36;0;50.74;0;5.31;0;1.47;99.41;100;56.93;0.327739561818264
411520005290003;2.89;0.3;33.61;0.94;3.03;0.3;41.52;0;2.42;1.52;2.42;100;100;50.91;0.332562238682766
411520005290004;2.95;0.61;35.39;0.78;5.81;0.31;44.95;0;4.59;1.22;2.45;98.17;100;48.62;0.311544176729428
411520005290005;3.04;0;32.77;1.46;9.44;2.22;21.11;0;0;0;3.33;99.44;100;39.44;0.335000829884049
411520005290006;3.13;0.18;31.55;1.83;4.18;2.73;21.64;0;0.36;0;11.27;98.91;98.73;32.18;0.28775917022951
411520005290007;3.36;1.17;36.3;0.83;11.45;4.44;16.12;0;1.17;0;16.59;99.07;99.53;37.85;0.275772988052758
411520005290008;3.45;0.5;41.1;1.09;3.5;4;15;1.56;2;0;8;97.5;100;33.5;0.200170975421963
411520005290009;3.02;0.65;36.16;1.11;7.92;1.45;20.52;0.98;1.62;0.16;11.53;99.84;99.84;34.1;0.213570818344194
411520005290010;2.82;0;29.22;0.78;6.59;0;23.08;0;0.55;0;0;98.9;6.04;34.62;0.196485811471939
411520005290011;2.52;1.49;27.5;1.27;4.46;0;25.74;0;0.5;0;0;96.53;47.03;33.66;0.18267185613513
411520005290012;2.53;0.36;26.09;1.01;1.09;0;28.73;2.38;0.36;0.36;1.09;98.91;35.27;49.45;0.376599451982313
411520005290013;2.63;0.62;28.94;1.29;6.17;0.31;27.78;0;1.85;0;1.23;91.36;99.69;46.91;0.370608647350585
411520005300001;3.05;3.49;33.67;0.95;20.35;0;53.49;3.57;5.81;0;0;98.84;100;34.3;0.382041769214423
411520005300002;2.95;2.63;41.32;1.34;23.03;0;53.95;0;7.89;0;0;94.74;100;39.47;0.380091014628609
411520005300003;2.82;0.6;40;1.17;4.2;0.3;57.96;1.72;2.1;0.3;0.9;96.7;100;31.53;0.331556925563504
411520005300004;3.14;1.23;34.47;0.98;3.38;0.31;54.77;0;4.31;0;0.92;97.23;100;37.54;0.305806661500792
411520005300005;3.08;0.25;37.95;1.21;3.24;0.25;42.64;0;2.99;0;1.25;94.76;99.75;48.88;0.238995178885359
411520005300006;3.22;0;40.42;0.87;5.6;0.8;55.2;0;4.8;0;0;78.4;100;43.2;0.494014448408158
411520005300007;3.13;0;33.65;1.17;7.84;0.25;35.29;0;1.72;0.74;1.47;99.02;99.75;42.16;0.260422592397247
411520005300008;3.32;0.37;41.52;1.4;5.2;0.37;56.88;1.41;7.06;0;1.12;96.28;100;31.97;0.325057845932758
411520005300009;3.02;0.75;32.32;0.78;6.47;0;44.78;1.2;3.48;0;1.99;96.77;99.75;41.54;0.272282379777192
411520005300010;3.16;2.75;36.24;1.19;18.56;0;50.86;2.86;5.84;0;1.03;99.66;99.66;39.18;0.300076330575762
411520005300011;3.17;0.86;33.39;1.19;10.56;0.22;40.3;2.75;2.37;0.22;0.87;96.1;98.48;46.64;0.269285685817401
411520005300012;3.2;0;40.89;1.25;6.88;0;56.16;1.56;6.16;0;0;89.49;100;40.94;0.33602662114372
411520005300013;3.37;0.33;37.13;1.33;2.33;0;45.85;0;3.65;0.67;0.67;15;99;29.33;0.254284874409437
411520005300014;3.01;0;35.5;0.99;1.69;0;39.83;0;1.69;0;1.69;11.86;99.15;40.68;0.224128098914605
411520005300015;2.92;0;31;0.83;4.46;0.37;50.56;0;4.46;0.37;0.37;98.51;99.63;35.32;0.3060576320906
411520005310001;3.14;5.81;39.72;1.39;30.52;0.29;48.55;0;6.69;0;0.29;98.84;100;32.56;0.375354804938108
411520005310002;3.21;0.95;41.81;1.33;8.1;0;60.95;1.85;7.14;0;0.48;91.43;100;42.86;0.32328196774038
411520005310003;2.97;0.34;39.49;1.37;3.39;0;54.92;1.72;4.07;0;0;95.92;100;44.22;0.310378452584352
411520005310004;3.23;2.07;37.93;1.15;12.13;0;45.56;2.56;2.37;0;0.3;99.11;100;47.04;0.282631312727655
411520005310005;3.08;0.62;36.83;1.06;3.42;0.62;46.89;1.33;4.04;0.31;0;97.52;100;42.86;0.267116629433903
411520005310006;3.14;2.05;34.41;1.12;9.06;0;41.23;1.41;3.51;0;0.29;96.47;100;41.76;0.255672463146901
411520005310007;3.39;9.42;38.84;1.85;26.18;0;57.07;0;3.66;0;0;89.01;100;24.08;0.240996250474947
411520005310008;3.28;0;32.66;1.52;0.83;0;43.33;0;3.33;0;0.83;89.17;95.83;10.83;0.303714313193646
411520005310009;3.2;0.88;34.07;1.34;7.92;0;54.55;1.22;7.33;0;0;97.31;100;35.03;0.292612560406213
411520005310010;3.12;0;37.36;2.04;2.54;0.76;36.29;0;2.28;0.25;0.76;81.98;100;25.63;0.206996988442103
411520005310011;3.25;1.2;36.84;1.2;6.91;0.6;41.14;1.09;1.8;0;1.21;96.07;100;41.09;0.270231097738702
411520005310012;3.24;0.38;37.6;1.63;3.76;0.75;36.47;0;3.01;0.38;1.89;98.11;100;48.68;0.281310138605178
411520005350001;2.76;0.31;32.18;0.8;3.45;0;34.8;0;2.51;0;0.94;71.47;55.49;36.68;0.255295908374361
411520005360001;3.26;3.06;35.52;1.49;10.56;0;63.06;3;8.61;0;0.83;0;100;32.78;0.256424545610864
411520005360002;3.35;0.68;36.25;1.14;9.83;0;68.31;0.58;5.08;0;0;1.53;100;22.71;0.25595876713347
411520005360003;3.53;0.55;41.68;1.72;4.04;0;65.14;2.13;8.44;0.18;0;0.37;99.45;18.17;0.346236782070117
411520005360004;3.53;13.58;36.54;1.31;17.22;0.33;65.56;0;5.3;0;0.33;7.95;100;24.83;0.330953083152102
411520005360005;3.05;0;36.32;0.76;2.63;0.33;40.13;0;1.32;0;0;82.89;100;36.51;0.251870028455468
411520005360006;3.22;0;32.86;1.08;2.48;0.5;39.11;0;0.99;0;0.5;1.98;100;26.24;0.325362544178963
411520005360007;3.17;0;25.54;1.15;4.55;0.91;30;0;2.73;0;0;0;100;29.09;0.415401318101656
411520005360008;3.27;0.92;34.43;1.37;12.92;0;51.69;0;4.62;0;0.31;0;100;28.31;0.338867841909329
411520005360009;3.27;0;35.02;0.94;6.67;0;25;3.23;1.67;0;1.67;98.61;100;36.67;0.205005916582449
411520005360010;3.12;1.06;35.6;1.06;16.18;1.06;38.2;0;1.06;0;5.31;52.25;100;45.62;0.223057670176296
411520005360011;3.29;0.25;40.6;1.47;2.49;0.5;27.61;0.99;1.49;0;4.23;46.27;100;46.02;0.212660502044941
411520005360012;3.19;6.79;33.91;1.07;20.38;0;40.38;2.13;0.75;0;4.92;81.06;100;46.21;0.261450816411525
411520005360013;3.05;1.69;39.5;1.04;4.22;0;49.79;0;2.11;0;1.27;4.64;100;22.78;0.321658539683072
411520005360014;2.93;1.11;40.18;0.88;4.44;0;42.22;2.27;3.7;0.74;0;97.04;100;43.7;0.250199416390172
411520005360015;2.88;0.75;38.72;0.78;14.5;0.25;50.25;0;5.25;0;1.25;94.5;100;51.75;0.220404712043025
411520005360016;3.16;0.39;33.83;0.98;9.3;0.39;31.78;0;3.49;0;4.65;96.9;100;34.11;0.219760683742729
411520005360017;3.46;0.56;36.18;1.77;6.48;0;69.44;1.65;9.44;0;0;20.22;100;33.02;0.25650354222705
411520005360018;3.62;0.53;36.36;1.65;27.06;0;64.72;1.15;9.02;0.27;0.27;94.16;100;34.48;0.266972060320345
411520005360019;3.31;0;30.86;1.45;6.96;0;63.04;2.13;6.09;0.88;0;3.08;100;37.89;0.218171884360713
411520005360020;3.7;0;35.45;1.7;6.52;0;69.13;0;13.04;0;0;0;100;25.65;0.303003991480734
411520005360021;3.58;0.87;35.5;1.46;9.33;0;69.97;1.08;7;0;0;6.12;100;19.53;0.32397556378909
411520005360023;3.18;0;38.18;1.08;0.9;0;48.06;2.7;2.99;0;4.48;93.43;100;36.72;0.340408881665558
411520005360024;3.27;7.25;45.06;1.11;17.1;0;49.22;0;4.66;0;1.04;5.7;98.96;29.02;0.317794438006368
411520005360026;3.24;1.47;40.72;1.34;13.11;0;58.03;1.56;3.39;0;0.15;3.98;99.85;35.64;0.307060577725578
411520005370001;3.38;0.4;45.88;1.06;9.16;0;60.16;0;3.98;0;0.8;2.79;100;30.28;0.372822401716429
411520005370002;3.31;0.57;35.76;1.34;4.01;0;65.62;0;5.73;0;0;2.29;100;33.24;0.292318442496806
411520005370003;3.35;0;39.42;1.04;7.49;0.53;62.57;0;3.21;0.53;0.53;3.74;100;35.83;0.343301737231427
411520005370004;3.07;0.77;32.78;0.62;2.3;0.38;54.79;0;4.98;0;0.38;0.77;100;32.57;0.284192427722872
411520005370005;3.36;0.36;40.18;1.52;9.12;0;63.87;1.52;10.58;0;0;89.42;100;38.69;0.384042238714683
411520005370006;3.11;0.32;41.04;1.23;3.82;0;64.97;3.41;4.14;0.32;0.32;97.12;100;46.96;0.304762673022142
411520005370007;3.21;0;39.15;1.32;3.81;0;53.81;1.52;5.08;0.42;0.85;94.07;100;36.86;0.292325039031142
411520005370008;3.1;0.37;35.54;0.95;2.95;0;63.1;0;6.64;0;0.37;95.57;100;34.32;0.329262111769166
411520005370009;3.25;3.16;33.61;1.11;27.09;0;43.12;1.15;4.06;0;0.68;97.52;100;38.6;0.259248726611788
411520005370010;3.15;0.84;38.44;1.12;10.11;0;63.76;0;8.15;0;0;94.94;100;42.13;0.301800625353325
411520005370011;3;0.96;38.19;0.64;6.22;0;57.42;2.5;3.83;0;0.48;96.17;100;32.06;0.299278337628611
411520005370012;3.06;1.67;35.8;1.55;12.78;0;60.56;2.44;5.56;0;0.56;98.33;100;35.56;0.322019828613414
411520005370013;3.17;0;37.14;0.65;2.48;0;50.41;0;1.65;0;0.83;100;100;30.58;0.257122883642161
411520005370014;3.32;0.68;41.09;1.22;2.7;0;56.08;0;2.03;0;0;100;100;35.81;0.301984147975842
411520005370015;3.33;0;39.34;1.54;3.31;0.33;32.12;0;0.66;0;3.31;95.36;99.01;32.45;0.250106569123632
411520005370016;3.31;0;39.42;0.96;12.7;0;39.68;0;2.65;0.53;2.12;95.77;99.47;32.8;0.208993142061844
411520005370017;3.44;0.73;39.38;1.22;2.55;0;22.18;0;0.73;0;1.45;98.55;100;31.64;0.185137111848037
411520005370018;3.21;0;37.66;1.49;3.06;0;29.59;0;1.7;0;5.12;97.61;100;37.54;0.17289945535136
411520005370019;3.23;1.29;34.81;1.6;3.22;0.96;32.15;0;1.93;0.32;0.32;95.82;99.68;34.73;0.199299961451318
411520005370020;3.09;1.14;39.79;1.39;7.43;0;46.86;1.96;6.86;0;1.15;69.54;100;32.18;0.242322747252489
411520005370021;3.2;0;34.89;0.63;7.07;0;36.36;0;0;0;2.02;45.45;100;30.3;0.274834560660215
411520005370022;2.69;0.74;34.5;1.44;3.69;0.37;28.41;0;1.11;0;0.74;98.89;100;36.9;0.30344201501678
411520005370023;3.35;1.02;34.98;1.98;14.29;0;52.04;4.55;6.12;0;0;91.84;100;30.61;0.420906214797792
411520005370024;2.99;4.39;40.33;1.17;16.67;0;54.39;10.53;5.26;0;2.63;96.49;100;41.23;0.346935198262886
411520005370025;2.86;1.37;31.17;1.52;14.16;0;36.99;0;0.91;0;0.91;95.43;100;37.9;0.272177002096877
411520005370026;3.32;1.03;37.66;0.85;6.67;0.51;46.15;0;3.08;0;1.03;73.33;100;37.44;0.321651828049878
411520005370027;3.2;0.57;40.76;1.35;3.45;1.15;27.59;0;1.15;0;2.3;95.98;100;40.23;0.278999884317561
411520005370028;2.92;0;38.08;1.8;0;0;37.59;3.45;6.77;0;0.75;98.5;100;35.34;0.308505237578078
411520005370029;3.22;0;40.53;1.23;6.07;0;42.06;0;2.34;0;0.47;99.07;100;32.24;0.271770283764551
411520005370030;3.3;0.63;33.25;1.25;11.39;0;44.94;0;5.7;0;0.63;100;99.37;36.71;0.297742758763999
411520005370031;2.99;0.84;40.43;1.26;2.52;0;71.01;1.96;7.14;0;0.42;97.06;100;31.93;0.35023975836626
411520005370032;3.18;1.61;38.7;1.01;4.02;0;63.05;0;5.22;0;0.4;97.59;100;35.34;0.333944421293389
411520005370033;3.35;0;38.64;1.49;3.94;0;60.61;0.93;3.64;0;0.91;17.88;100;23.64;0.340630798509693
411520005370034;3.25;1.28;36.67;1.37;5.96;0;55.74;0;2.13;0;0;28.09;100;19.15;0.376214538861153
411520005370035;3.22;0;32.52;1.62;0;0;41.79;0;2.99;0;0;97.01;100;2.99;0.356405643105586
411520005370036;3.18;1.65;35.92;1.23;4.53;0;53.09;0;3.7;0;0;6.58;100;27.98;0.29040435758176
411520005370037;3.28;1.13;36.15;0.6;10.73;0;56.5;0;4.52;0;0;3.39;100;27.68;0.246664278119443
411520005370038;3.4;0;42;1.11;16.44;0;58.9;0;3.42;0;0.68;0;100;29.45;0.312450413476853
411520005370039;3.37;0;38.6;2.17;3.66;0;54.27;0;2.44;0;0.61;40.24;100;29.88;0.225799973460899
411520005370040;3.11;1.1;31.32;1.5;3.85;0.55;49.45;0;4.4;0;0;9.34;100;31.87;0.2041943391195
411520005370041;2.75;0;41.03;1.82;0;0;45;0;5;0;0;80;90;30;0.273468535939852
411520005370042;3.14;0;39.87;1.66;8.96;0.75;29.1;0;0.75;0;2.99;97.76;99.25;35.07;0.273908532677166
411520005370043;3.25;0;37.31;1.34;1.45;0;48.55;0;3.62;0;4.35;92.03;100;55.07;0.296995048262869
411520005370045;3.03;0;38.43;1.34;3.35;0.96;49.76;0;1.44;0;0.96;75.6;100;52.63;0.32793314406862
411520005370046;3.13;0.33;36.29;1.31;3.95;0;53.29;1.49;8.88;0;1.65;77.23;99.01;57.1;0.376475384910637
411520005370048;3.33;0.34;40.23;1.91;13.06;0.69;29.21;1.09;2.41;0;2.06;96.91;100;22.34;0.327415632840135
411520005370049;3.15;0;43.31;1.5;9.09;0.73;41.45;0;3.64;0;0.36;60.73;100;26.18;0.274075224352154
411520005380001;3.27;0.26;37.87;1.61;2.36;0;50.13;0;2.36;0;0.79;1.31;99.74;32.28;0.287701304410876
411520005380002;3.19;0;35.17;1.02;9.13;0;55.22;0;10.87;0;0.43;3.91;100;26.09;0.352141496305372
411520005380003;3.2;2.99;36.62;1.63;11.94;0.75;48.51;0;0.75;0;0;4.48;100;26.12;0.379572675210758
411520005380004;3.27;1.44;43.35;1.88;5.76;0;58.99;2.27;7.19;0;0.72;0.72;100;39.86;0.334882616913051
411520005380005;3.32;0.6;35.52;1.35;5.95;0;59.52;0;5.95;0;0.6;1.79;99.4;16.67;0.322010196745396
411520005380006;3.28;3.27;42.97;1.78;12.62;0.47;56.54;1.69;2.8;0;0.47;2.8;100;32.71;0.374116310154333
411520005380007;3.59;1.16;53.73;3.24;5.81;0;68.6;0;4.65;0;1.16;3.49;100;24.42;0.437992710297365
411520005380008;3.01;0.31;47.61;0.76;2.17;8.05;27.24;1.11;1.86;0.31;25.39;79.88;87;43.96;0.357916053558233
411520005380009;3.34;0.55;36.02;1.48;7.69;0;60.99;0;4.95;0;0.55;5.49;100;30.77;0.392054707912178
411520005390001;3.12;0.22;36.12;1.22;5;0.22;49.78;2;8.48;0.22;0.44;10.46;100;42.7;0.282020082179093
411520005390002;3.27;0.85;38.53;1.66;7.41;0;66.1;1.19;15.67;0;0.28;66.67;100;37.89;0.331489533385254
411520005390003;3.11;1.82;30.04;0.8;4.55;0;40;1.92;9.09;0;0.91;0.45;100;25.45;0.301490616674225
411520005390004;3.16;1.08;32.47;1.45;4.05;0;48.65;1.25;5.14;0;1.08;30.27;99.46;20.27;0.287697724745435
411520005390005;3.24;1.59;37.22;1.31;2.12;0.53;58.2;1.85;8.47;0;0;10.05;100;30.69;0.29172344105218
411520005390006;3.33;0.83;47.06;1.25;15;0;61.67;2.27;3.33;0;0.83;49.17;100;30.83;0.269269340272461
411520005390007;2.92;1.08;34.41;1.38;3.23;0;59.68;0;5.38;0;1.08;59.14;100;36.02;0.305019783431833
411520005390008;2.3;0;82.86;0;16.67;0;66.67;0;0;0;4.17;12.5;41.67;83.33;0.460069622391852
411520005390009;3.33;0.55;41.45;1.53;4.55;0;55.17;2.11;4.97;0.14;0.55;2.76;99.86;20.99;0.275832042087726
411520005390010;3.26;1.47;40.63;0.9;8.09;0;60.29;2.63;10.29;0;0.74;13.97;100;38.24;0.375626417918233
411520005390011;2.52;0.61;26.97;1.88;5.31;0.2;41.63;0;0;0;0.2;96.73;82;14.72;0.30720229437443
411520005400001;3.09;0.45;41.53;0.69;6.56;9.73;17.42;0;2.04;0;28.57;42.63;90.48;29.02;0.442371772467173
411520005400002;3.27;2.67;49.39;1.02;9.33;9.33;26.67;0;2.67;0;20;12;10.67;57.33;0.553728695191881
411520005410001;3.42;6.52;42.73;1.61;26.09;0;50;0;6.52;15.56;2.22;4.44;46.67;75.56;0.320209181320999
411520005420001;1.46;0.91;9.48;0.92;13.64;0;59.09;0;9.09;0;6.32;10.53;37.89;44.21;0.4163651444519
411520005430001;3.07;0.51;31.14;1.34;10.26;0;66.67;0;3.59;0.51;0;99.49;100;19.49;0.284456699709349
411520005430002;3.12;0;36.59;1.51;4.88;0;62.72;4.55;12.89;0;1.05;87.46;100;34.15;0.326858742109367
411520005430003;3.13;1.77;35.86;1.21;12.12;0.51;56.06;0;5.3;0;0.25;87.63;100;33.84;0.299954900108043
411520005430004;3.05;7.63;42.68;1.19;25.57;0.38;58.78;5.36;3.82;0;0.76;91.98;100;33.59;0.333624343394388
411520005430005;3.28;0.38;31.33;0.97;3.01;0.38;60.15;0;5.64;0;0.38;98.5;100;19.92;0.280096079913839
411520005430006;3.22;0.59;35.41;1.35;6.72;0.2;53.75;0;4.55;0;0.2;99.01;99.41;39.92;0.324921798110008
411520005430007;3.36;0;32.14;0.9;0;0;24.24;0;3.03;0;3.03;100;100;39.39;0.388550301039885
411520005430008;3.12;0.85;39.01;1.67;7.78;0.28;60.25;0.52;4.53;0;0.99;27.58;97.74;28.57;0.369638808989632
411520005430009;2.85;0;32.76;1.95;0;0;62.96;0;0;0;0;3.7;96.3;40.74;0.44820054400863
411520005430010;3.31;0;38.56;1.57;2.64;0;43.61;2.29;4.41;0;0.44;77.43;99.56;22.35;0.273899027081423
411520005440001;3.1;1.09;40.62;0.92;10.33;0;48.37;0;2.72;0.27;0.54;95.38;100;33.42;0.346630172100332
411520005440002;3.12;0.65;36.01;0.88;4.52;0.32;47.74;0;1.61;0;0.65;94.17;100;37.86;0.295916589399179
411520005440003;3.03;0.22;34.33;0.86;2.39;0;48.26;1.32;3.7;0;0.22;39.78;100;37.83;0.242686175347603
411520005440004;3.44;1.54;39.38;1.17;3.09;1.85;29.63;0;1.23;0;5.86;80.86;100;31.79;0.382388295358212
411520005440005;3.33;0;33.9;1.09;1.28;5.96;17.87;1.59;0.43;0;18.72;88.51;100;24.68;0.232318903477146
411520005440006;3.31;0;45.99;1.76;2.71;0.54;27.37;0.95;1.63;0.27;1.9;6.79;99.73;40.76;0.28531404469138
411520005440007;3.31;1.55;40.79;1.71;4.12;0;41.75;0;3.09;0;1.03;3.09;100;30.41;0.424601994746089
411520005450001;3.44;4.23;39.73;0.76;17.37;0;55.87;1.67;2.35;0.48;0.48;45.89;67.15;52.17;0.352737126294406
411520005460001;3.23;0.67;36.23;1.21;5.82;0;62.64;1.05;10.96;0.45;0.45;95.96;100;35.51;0.347422661991524
411520005460002;3.23;1.34;35.63;0.96;8.58;0;58.18;0;7.77;0;0;97.05;100;27.35;0.305597812100186
411520005460003;2.85;0.75;42.35;0.92;8.96;0;70.15;0;4.1;0;1.12;12.69;100;40.3;0.438417677815992
411520005460004;3.04;0.62;41.67;1.37;13.58;0;56.17;1.41;6.79;2.47;2.47;5.56;99.69;52.16;0.336329190053134
411520005460005;3.32;0.36;39.31;1.59;5.39;0;56.55;0;3.59;0;0.9;50.09;99.64;31.24;0.263205484169225
411520005460006;3.37;1.6;42.28;1.22;5.95;0.23;57.21;0;6.64;0;0.46;54.92;99.77;22.43;0.232367202649621
411520005470001;3.17;0.91;34.7;1.19;3.32;0;48.34;0;3.93;0;0.6;95.77;100;42.3;0.33015620015203
411520005470002;3.21;9.35;41.13;0.8;31.29;0;44.52;2.7;3.87;0;0.97;99.35;100;36.13;0.237923762512456
411520005470003;3.2;0.63;36.67;1.58;5.38;0;55.06;0;4.43;0;0.32;99.37;100;39.24;0.272894575594262
411520005470004;3.11;0.62;39.06;1.68;9.23;0;66.77;0;7.38;0;0.31;85.19;100;42.9;0.379323242439164
411520005470005;3.19;0.47;39.28;1.14;1.17;0;51.88;0;5.87;0.24;0;97.41;99.76;49.18;0.287232285600249
411520005470006;3.21;0;33.79;2.08;6.56;0;59.02;0;4.92;0;1.69;30.51;32.2;49.15;0.369338950056103
411520005470007;3.14;0.94;38.75;1.95;1.89;0;49.06;0;3.77;0;1.89;92.45;100;42.45;0.434048212206341
411520005470008;3.11;0;47.37;0;44.44;0;44.44;0;22.22;0;11.11;11.11;77.78;44.44;0.409732762695313
411520005480001;3.21;1.09;36.71;1.43;6.11;0;60.92;0.83;5.9;0;0.44;96.29;99.78;40.39;0.340650943691953
411520005480002;3.08;0.47;40.36;1.17;3.02;0.23;44.65;0;2.33;0;0.47;97.44;100;40.23;0.24069324498506
411520005480003;3.14;0.54;35.16;0.95;5.15;0;52.03;0;4.07;0;0.54;99.73;100;42.51;0.255723310204653
411520005480004;3.2;0;36.3;0.97;2.33;0;36.43;3.03;3.88;0;1.55;98.45;100;27.91;0.326382888779964
411520005480005;3.16;7.88;40.12;1.25;19.02;0.27;40.76;0;2.17;0.27;3.53;95.65;100;43.75;0.326875266934136
411520005480006;3.33;0;38.73;1.39;3.04;0.25;35.87;0;2.66;0;0.25;73.48;99.87;17.13;0.303408165007121
411520005480007;3.08;0.48;35.71;1.72;7.34;0.63;26.52;0.92;1.11;0;3.34;99.27;99.76;30.56;0.248096947264393
411520005480008;3.24;0.22;39.01;1.36;4.76;0.43;23.81;0;1.08;0;6.74;99.57;99.78;30.22;0.222754915782384
411750305000001;3.06;0.34;42.07;1;6.08;0;68.24;0;10.81;0;0.34;54.58;99.66;37.97;0.330292024688255
411750305000002;3.2;0;42.54;1.4;5.19;0;61.1;1.12;9.51;0;0.58;93.06;100;40.75;0.28240470493685
411750305000003;3.02;0.9;40.7;1.14;9.91;0;51.35;1.2;6.61;0.3;0.3;92.79;100;38.74;0.301554967858353
411750305000004;3.59;0.74;36.26;1.39;3.68;0;51.1;0;5.51;0.74;2.58;95.94;99.63;28.78;0.250511353596663
411750305000005;2.97;0.34;32.42;0.97;1.7;0;48.64;0;4.42;0;0.68;93.2;100;35.71;0.252270453972017
411750305000006;3.14;2.53;36.72;1.25;20.79;0.28;44.94;0;2.25;0;2.53;55.34;100;31.46;0.278493654360357
411750305000007;2.85;3;37.84;1.21;10.3;0.43;58.37;0;8.58;0;0.43;89.27;100;39.91;0.320218773445053
411750305000008;3.23;0.63;40.93;1.3;7.95;0;68.83;4.17;11.09;0;0;90.97;100;36.13;0.282053913714157
411750305000009;3.32;1;43.46;1.58;4.99;0;72.82;3.2;8.73;0;0.25;88.19;100;34.42;0.272647110372782
411750305000010;3.09;0.26;37.41;1.4;8.16;0;69.64;0.96;12.24;0;0.26;94.37;100;34.53;0.215900417974966
411750305000011;3.22;0.82;37.21;1.74;12.26;0;64.85;3.57;7.9;0;0.27;97.54;100;32.51;0.213986175837087
411750305000012;3.18;0.92;37.56;1.84;5.5;0;62.84;0.93;7.34;0;0;96.56;100;30.96;0.241131759930456
411750305000013;3.12;0.88;36.43;1.17;3.31;0;63.58;0;5.96;0;0.22;91.81;100;37.39;0.250383132558451
411750305000014;3.12;0;35.69;1.15;10.91;0.21;55.76;0;4.12;0;0.62;93.62;100;36.63;0.257679454807267
411750305000015;3.1;2.3;38.68;1.93;8.29;0;75.12;0;20.74;0.46;0.46;0.93;97.69;26.85;0.389595940792254
411750305000016;3.18;1.1;38.44;1.56;8.06;0;71.79;1.22;9.52;0;0.37;4.4;98.9;26.01;0.344818440617108
411750305000017;3.34;3.11;48.77;1.3;12.8;0;77.51;0;10.03;0;0;0.69;98.62;32.87;0.335290606448547
411750305000018;3.49;3.38;48.84;1.07;32.43;0;62.84;1.96;15.54;0;0;0;96.6;24.49;0.370736069574815
411750305000019;3.26;0.89;49.64;1.19;3.78;0;82.89;1.32;6.44;0.22;0;2;99.33;31.56;0.348518133316441
411750305000020;3.26;0.82;46.39;1.71;9.69;0;72.78;1.27;12.16;0.21;0;2.48;96.07;33.88;0.369444393470862
411750305000021;3.31;2.8;48.12;1.88;12.73;0;75.78;2.86;12.73;0.62;0;3.73;98.45;28.26;0.367511510344217
411750305000022;3.18;0.84;43.22;1.1;3.63;0;75.42;2.8;11.73;0;0.28;51.4;99.44;30.45;0.357477922120999
411750305000023;3.26;2.4;48.75;2.26;17.47;0;70.21;3.41;11.64;0;0;87.63;99.31;21.31;0.319310661700132
411750305000024;3.28;1.74;40.18;1.75;6.62;0;74.22;3.45;7.32;0;0;99.65;100;29.27;0.259764577585755
411750305000025;3.16;0.32;41.8;1.33;3.56;0;62.14;0;5.83;0.32;0.32;94.82;100;31.72;0.254266321167425
411750305000026;3.41;1.27;44.93;2.05;6.05;0.32;59.55;0;4.78;0;0;95.22;100;43.31;0.206856951751608
411750305000027;3.16;0.85;41.63;2.01;4.66;0;66.1;0;5.08;0.42;0;95.34;100;51.27;0.310295680595948
411750305000028;3.25;0.85;37.66;1.45;2.13;0.43;57.87;1.69;6.38;0;0.43;92.31;100;38.89;0.204498445391998
411750305000029;3.35;1.13;44.35;1.7;8.41;0;74.15;0.77;7.53;0.38;0;2.13;99;29.61;0.365055835011518
411750305000030;3.16;1.22;41.61;1.25;2.44;0.3;75;0;5.49;0.61;0;3.67;99.39;33.03;0.343698958293744
412625605000001;2.76;0.91;34.82;0.75;0.91;1.83;45.66;0;1.83;0;1.37;26.48;100;55.71;0.256976756784651
412625605000002;3.14;0.49;47.45;1.73;2.46;0;63.05;3.77;9.85;0;0.49;2.46;100;44.83;0.284539635441884
412625605000003;2.97;0.77;38.85;2.01;9.23;0;58.46;4.55;6.54;0;0.39;15.44;100;44.02;0.302152845444101
412625605000004;2.95;0;34.79;1.26;5.32;0;62.23;0;6.91;0;0;4.26;100;44.15;0.284368216217338
412625605000005;2.93;10.38;32.67;0.75;33.33;0;49.73;2.38;1.64;0;0;65.38;100;45.05;0.27275283061541
412625605000006;3.22;0.27;43.37;1.08;9.12;0;59.79;0;7.51;0;1.08;89.25;100;44.09;0.281440540247185
412625605000007;3.26;1.23;42.11;1.27;11.04;0.31;38.65;0;5.83;0.31;0.92;50.92;100;46.93;0.264462590578588
412625605000008;3;0;33.88;0.84;4.57;0.46;62.1;0;2.28;0;0.91;4.57;99.09;41.55;0.23565147587553
412625605000009;3.22;1.2;38.17;1.26;4.19;0;52.69;0;4.49;0;0.6;1.5;100;40.42;0.262208850392037
412625605000010;3.04;1.15;38.88;2.02;28.35;0;39.08;1.79;4.98;0.77;1.15;4.98;100;47.13;0.273357000783538
412625605000011;3.12;4.88;39.98;1.39;18.63;0.36;54.43;0;10.13;0;0.72;1.09;100;40.94;0.251531464107815
412625605000012;3.05;1.12;44.54;1.46;2.6;0;71.38;2.82;13.75;0;0;1.86;100;32.34;0.314569103121758
