Census tract;EN1;DM1;DM2;DM3;DM4;EC1;EC2;EC3;ED1;ED2;HS1;HS2;HS3;HS4;HS5;EN1
411520005010001;0.211988605530216;0.723636363636363;0.923523206751055;0.568169546436285;0.774691358024691;0.836858685868587;0.153225806451613;0.888877338877339;1;0.9856;1;0.0244684441444482;1;1;0.572691062982325;0.190180811844553
411520005010002;0.157179532922748;0.669090909090909;0.947784810126582;0.659827213822894;0.805555555555556;0.910891089108911;0.29147465437788;0.891995841995842;1;0.9868;1;0.257003037462032;1;0.588339776407899;0.550908638287279;0.0603001217374137
411520005010003;0.13583057751613;0.607272727272727;0.948839662447258;0.617170626349892;0.811728395061728;0.877587758775877;0.387864823348694;0.936590436590437;1;0.9688;1;0.239115761052987;1;0.833664193919131;0.645631067961165;0.00970964593906426
411520005010004;0.194263263605535;0.567272727272727;0.962552742616034;0.571139308855291;0.753086419753087;0.928217821782178;0.599078341013825;0.910498960498961;0.722430607651913;0.9716;1;0.107661154235572;1;0.0700031344687076;0.692930047298979;0.14817718850193
411520005010005;0.200032769888639;0.534545454545454;0.979430379746835;0.689389848812095;0.780864197530864;0.920567056705671;0.36136712749616;0.966112266112266;1;0.9844;1;0.0860614242321971;0.9961;0.201023926444468;0.700398307194424;0.161849148671621
411520005010006;0.191643264854238;0.469090909090909;1;0.688849892008639;0.743827160493827;0.974347434743474;0.73310291858679;0.962474012474012;1;0.966;1;0.874957813027337;1;0.40173440601818;0.753547423450336;0.141968595112011
411520005010007;0.159865068949082;0.578181818181818;1;0.684935205183585;0.459876543209877;0.95049504950495;0.407834101382488;0.948128898128898;1;0.9852;1;0.185453931825852;1;1;0.444485934777197;0.0666640183664605
411520005010008;0.131733150186263;0.712727272727273;0.760021097046413;0.740955723542117;0.728395061728395;0.781728172817282;0.197772657450077;0.872765072765073;1;0.9764;0.916616676664667;0.171447856901789;1;0.741928743078048;0.337938760268857;0
411520005010009;0.205945030665926;0.570909090909091;0.881856540084388;0.688579913606911;0.737654320987654;0.87016201620162;0.160138248847926;0.83960498960499;1;0.9232;0.692261547690462;0.0377995275059062;0.9968;0.909622818932191;0.462783171521036;0.175859393204435
411520005010010;0.205588411772624;0.501818181818182;0.975738396624472;0.619060475161987;0.876543209876543;0.887038703870387;0.631336405529954;0.987318087318087;0.711177794448612;1;1;0.577961525480932;0.9954;0.570577787065093;0.735997012696042;0.175014315815533
411520005010011;0.192033461605509;0.498181818181818;1;0.616900647948164;0.802469135802469;0.964896489648965;1;0.996153846153846;1;1;1;0.659129260884239;1;1;0.784416231018173;0.142893241724728
411520005010012;0.181147971855743;0.472727272727273;0.964662447257384;0.681290496760259;0.691358024691358;0.91944194419442;0.601382488479263;1;1;0.9644;1;0.513499831252109;0.9955;0.294117647058823;0.800472989793378;0.11709797000066
411520005010013;0.189152762640137;0.530909090909091;0.957278481012658;0.582613390928726;0.725308641975309;0.908415841584158;0.421658986175115;0.92962577962578;1;0.9836;1;0.336145798177523;1;0.35012015463379;0.652725914861837;0.136066868793863
411520005020001;0.274608714637732;0.363636363636364;1;0.583153347732181;0.712962962962963;0.957920792079208;0.401305683563748;0.864968814968815;1;0.9252;1;0.379176510293621;0.9813;1;0.65496639283047;0.33857126252261
411520005020002;0.303068505721457;0.414545454545455;1;0.52335313174946;0.79320987654321;0.991449144914491;0.554915514592934;0.86954261954262;1;1;1;0.48768140398245;0.9962;1;0.677495643515061;0.406012237719033
411520005020003;0.269067953295178;0.436363636363636;0.97204641350211;0.498380129589633;0.811728395061728;0.893339333933393;0.302995391705069;0.837110187110187;0.711177794448612;0.9368;1;0.515187310158623;1;1;0.598332088623351;0.325441357697477
411520005020004;0.273520385305136;0.396363636363636;0.639767932489452;0.52267818574514;0.722222222222222;0.656615661566157;0.262288786482335;0.805717255717256;1;0.952;0.976004799040192;0.501518731015862;0.996;1;0.627333831217326;0.335992255835273
411520005020006;0.256931249797344;0.607272727272727;0.878164556962025;0.790361771058315;0.82716049382716;0.791854185418542;0.0395545314900154;0.790956340956341;1;0.9692;1;0.0259871751603105;0.9923;0.680388674119737;0.566840926064227;0.296681093184086
411520005020007;0.28680376742297;0.541818181818182;0.982594936708861;0.674946004319654;0.697530864197531;0.872862286228623;0.07642089093702;0.839189189189189;0.745686421605401;0.9736;1;0.0224434694566318;0.99;0.652909831783513;0.636046801095345;0.367469796949261
411520005020008;0.301674327756985;0.370909090909091;1;0.640253779697624;0.808641975308642;0.745724572457246;0.151689708141321;0.804573804573804;1;0.9096;1;0.295477556530543;0.9548;1;0.51680358476475;0.402708463589253
411520005030001;0.25705877398806;0.516363636363636;1;0.639578833693304;0.808641975308642;0.89041404140414;0.0499231950844854;0.80997920997921;0.73218304576144;0.922;0.941811637672465;0.060242996962538;0.9708;0.908369031449169;0.524022902663679;0.296983286399691
411520005030002;0.279246724233395;0.461818181818182;0.966772151898734;0.569924406047516;0.669753086419753;0.950720072007201;0.0119047619047619;0.625675675675676;0.880720180045011;0.8748;1;0.0688491393857577;0.9969;0.996761049002194;0.510455563853622;0.349561922615008
411520005030003;0.263003147790365;0.454545454545455;1;0.572354211663067;0.709876543209877;0.873312331233123;0.0360983102918587;0.541683991683992;0.699924981245311;0.8496;0.943611277744451;0.0713803577455282;0.9953;1;0.300970873786408;0.311069628951544
411520005030004;0.31218618336557;0.476363636363636;0.944620253164557;0.643223542116631;0.777777777777778;0.913366336633663;0.0403225806451613;0.567047817047817;1;0.916;0.979004199160168;0.0177185285183935;0.9441;1;0.401792382374907;0.427618337006152
411520005030005;0.272271261873998;0.563636363636364;0.979957805907173;0.602996760259179;0.691358024691358;0.838658865886589;0.101382488479263;0.764864864864865;1;0.9096;0.977204559088182;0.07036787040162;0.9886;0.920802423989134;0.424321633059497;0.333032216455897
411520005030006;0.216029623858966;0.512727272727273;0.938818565400844;0.699919006479482;0.697530864197531;0.902340234023402;0.144393241167435;0.82016632016632;1;0.9768;1;0.141410732365845;0.9653;0.90032389509978;0.40403286034354;0.1997567857537
411520005030007;0.213018664180709;0.447272727272727;1;0.534422246220302;0.648148148148148;0.918991899189919;0.0460829493087558;0.677754677754678;0.825206301575394;0.856;1;0.0539993250084374;0.996;1;0.315285038586009;0.192621734889082
411520005030008;0.288232286428583;0.498181818181818;0.97626582278481;0.56695464362851;0.709876543209877;0.849234923492349;0.0341781874039939;0.464033264033264;1;0.7856;1;0.0302058724265947;0.9732;0.995298296938669;0.292631316903161;0.370854948812876
411520005030009;0.279559626454307;0.505454545454546;0.960443037974684;0.662796976241901;0.669753086419753;0.906840684068407;0.0576036866359447;0.593970893970894;1;0.9096;0.864427114577085;0.025312183597705;0.9361;1;0.396191187453323;0.350303404899869
411520005040001;0.217257798525474;0.505454545454546;0.979430379746835;0.527267818574514;0.703703703703704;0.956570657065707;0.133256528417819;0.790644490644491;1;0.9844;0.953209358128374;0.117786027674654;0.9961;0.99592519068018;0.501742593975604;0.202667182986665
411520005040002;0.248860882472492;0.494545454545454;0.968881856540084;0.571544276457883;0.777777777777778;0.933843384338434;0.474270353302611;0.935550935550936;1;1;1;0.526155923050962;0.9882;0.680388674119737;0.671147622603933;0.277556798104752
411520005040004;0.340887979480876;0.432727272727273;1;0.668061555075594;0.648148148148148;0.857785778577858;0.0883256528417819;0.716943866943867;1;0.908;0.965806838632274;0.213297333783328;0.977;1;0.715334826985312;0.495632789895516
411520005040005;0.358948862189569;0.407272727272727;0.973628691983122;0.637419006479482;0.651234567901235;0.921692169216922;0.15284178187404;0.687837837837838;1;0.7612;1;0.16790415119811;0.9254;1;0.510828976848394;0.538431541973461
411520005040006;0.344449490966166;0.465454545454545;0.919831223628692;0.543061555075594;0.787037037037037;0.897614761476148;0.174731182795699;0.813721413721414;1;0.9796;1;0.272696591292609;0.9697;0.968341866053704;0.653721682847896;0.504072479668171
411520005040007;0.284424257513724;0.530909090909091;0.916139240506329;0.621355291576674;0.660493827160494;0.642889288928893;0.0610599078341014;0.844802494802495;1;0.9872;1;0.107154910563618;0.9905;0.956848814126006;0.614388847398556;0.361831088348168
411520005040008;0.284813793036189;0.501818181818182;1;0.619060475161987;0.910493827160494;0.963321332133213;0.354838709677419;0.802182952182952;0.210052513128282;0.826;1;0.25683428957138;0.9946;1;0.563729151107792;0.362754168051438
411520005040009;0.295410311315209;0.48;0.760021097046413;0.581938444924406;0.697530864197531;0.565256525652565;0.109062980030722;0.797297297297297;1;0.932;1;0.364326695916301;0.9943;1;0.584640278815036;0.38786466602809
411520005050001;0.355235335428313;0.418181818181818;1;0.573434125269978;0.858024691358025;0.910891089108911;0.228110599078341;0.771933471933472;1;0.9208;1;0.570874114073574;0.9801;1;0.634677620114513;0.529631622625482
411520005050002;0.314948308308992;0.418181818181818;0.960443037974684;0.559800215982721;0.712962962962963;0.804680468046805;0.202764976958525;0.866943866943867;1;0.9548;1;0.452075599055012;0.9925;0.996029672970431;0.609783420463032;0.43416372587604
411520005050003;0.313196123673998;0.443636363636364;1;0.53914686825054;0.854938271604938;0.916291629162916;0.213901689708141;0.801351351351351;1;0.9628;1;0.31353358083024;0.9845;0.990283147006582;0.655713218820015;0.430011585751028
411520005050004;0.282040263460184;0.327272727272727;1;0.574109071274298;0.679012345679012;0.951170117011701;0.291090629800307;0.810602910602911;0.81245311327832;0.8844;1;0.531893351333108;0.9746;0.996238637550935;0.689942743340801;0.356181753700551
411520005050005;0.23338198033618;0.458181818181818;0.944620253164557;0.614065874730022;0.861111111111111;0.834158415841584;0.10099846390169;0.738565488565489;1;0.9368;1;0.168747890651367;0.9684;0.994462438616655;0.57866567089868;0.240876547994277
411520005050006;0.295060340325423;0.370909090909091;0.985759493670886;0.63188444924406;0.777777777777778;0.901440144014401;0.178955453149002;0.768918918918919;1;0.956;1;0.439250759365508;0.8986;0.997178978163201;0.617749564351506;0.387035342131362
411520005050007;0.257333468993185;0.425454545454545;0.981012658227848;0.532937365010799;0.783950617283951;0.852160216021602;0.112135176651306;0.80051975051975;1;0.898;1;0.191697603779953;0.9963;0.992372792811618;0.636046801095345;0.297634229302705
411520005060001;0.263108808413085;0.454545454545455;0.929852320675106;0.636204103671706;0.740740740740741;0.752475247524752;0.0126728110599078;0.415800415800416;0.745686421605401;0.7468;1;0.0337495781302734;0.9933;1;0.398307194423699;0.311320012217364
411520005060002;0.293260160099828;0.523636363636364;0.953586497890295;0.520518358531317;0.651234567901235;0.821782178217822;0.0564516129032258;0.490748440748441;1;0.8004;0.964607078584283;0.0744178197772528;0.9147;0.993835544875144;0.356235997012696;0.382769467178651
411520005060003;0.292520295718744;0.494545454545454;0.919303797468354;0.650107991360691;0.768518518518518;0.723897389738974;0.0234254992319508;0.522972972972973;1;0.8652;1;0.0518056024299696;0.7209;1;0.395817774458551;0.381016215539291
411520005060004;0.233891318313496;0.44;0.887658227848101;0.639038876889849;0.725308641975309;0.497299729972997;0.0203533026113671;0.586070686070686;1;0.8936;1;0.0725615929800878;0.4247;0.932608922787587;0.421583271097834;0.242083522767694
411520005070001;0.213774490822786;0.509090909090909;0.892932489451477;0.770518358531317;0.796296296296296;0.916291629162916;0.285330261136713;0.891995841995842;0.785446361590398;0.9728;1;0.057036787040162;0.9797;0.996447602131439;0.578914612895195;0.19441281219078
411520005070002;0.245465807616711;0.527272727272727;0.907172995780591;0.781992440604752;0.703703703703704;0.761926192619262;0.193548387096774;0.871933471933472;1;0.99;1;0.0595680053999325;0.9874;0.665761153484485;0.519915359721185;0.269511512091754
411520005070003;0.25162526352538;0.530909090909091;0.95253164556962;0.696274298056155;0.558641975308642;0.903465346534654;0.147465437788018;0.863513513513513;1;0.982;1;0.0227809652379345;0.9729;0.875039180858845;0.52588996763754;0.284107533262042
411520005070004;0.201214896308051;0.581818181818182;0.98048523206751;0.735691144708423;0.737654320987654;0.933618361836184;0.0568356374807988;0.897609147609148;1;0.9852;1;0.0622679716503544;0.9963;1;0.499875529001743;0.164650425683672
411520005070005;0.190053660422564;0.563636363636364;0.827004219409283;0.772813174946004;0.703703703703704;0.761926192619262;0.182027649769585;0.906756756756757;0.699924981245311;0.9708;1;0.0739115761052987;1;0.576742242189949;0.410380881254668;0.138201720199498
411520005070006;0.217529791257074;0.490909090909091;0.978902953586498;0.626349892008639;0.657407407407407;0.902115211521152;0.106374807987711;0.936798336798337;1;0.984;1;0.0799865001687479;1;0.322745794587817;0.57966143888474;0.203311722330312
